Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart?sessionId=046abf00-8590-11f1-9017-a1a91599fee5,9,0,460,538.7468114438686,277.9955589940073,1293.5627339975326,2908.6666666666665,0.005327541407827198,0.0,460,490,570,880,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046ac14e-8590-11f1-9017-a1a91599fee5,18,0,310,434.45571333399533,254.34207299986156,1581.2339359981706,2610.6111111111113,0.010655082815654396,0.0,320,390,490,550,690,1600,1600,1600,1600,1600,1600
GET,/api/cart?sessionId=046ac392-8590-11f1-9017-a1a91599fee5,10,0,420,529.6710280010302,271.0580439961632,1342.6318190031452,1293.8,0.005919490453141331,0.0,460,510,520,660,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046ac5d6-8590-11f1-9017-a1a91599fee5,13,0,360,460.74041753980475,258.26027800212614,1393.4284779970767,2459.230769230769,0.00769533758908373,0.0,360,460,490,550,690,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046ac810-8590-11f1-9017-a1a91599fee5,13,0,420,457.638846385145,252.94178599870065,1601.2169850000646,1079.4615384615386,0.00769533758908373,0.0,420,440,450,460,500,1600,1600,1600,1600,1600,1600
GET,/api/cart?sessionId=046aca4a-8590-11f1-9017-a1a91599fee5,11,0,320,337.7146887274152,252.8855630007456,484.71741899993503,1516.5454545454545,0.006511439498455464,0.0,320,400,410,410,450,480,480,480,480,480,480
GET,/api/cart?sessionId=046acc66-8590-11f1-9017-a1a91599fee5,15,0,340,457.6031332006096,265.3144659998361,1234.267436004302,1403.2666666666667,0.008879235679711996,0.0,340,450,550,560,800,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046ace82-8590-11f1-9017-a1a91599fee5,12,0,300,345.49290174921526,252.10548400355037,459.33398300257977,2145.75,0.0071033885437695975,0.0,300,430,450,450,450,460,460,460,460,460,460
GET,/api/cart?sessionId=046ad09e-8590-11f1-9017-a1a91599fee5,13,0,430,525.483297307801,247.5378939998336,1397.677280998323,2350.846153846154,0.00769533758908373,0.0,430,620,620,770,850,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046ad2ce-8590-11f1-9017-a1a91599fee5,16,0,420,512.5239584367591,255.91275699844118,1455.6036110006971,2741.625,0.00947118472502613,0.0,420,460,530,530,1300,1500,1500,1500,1500,1500,1500
