Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,browse /api/products,178435,138081,230,838.6542577979911,0.5156869883649051,18222.074782010168,1401.9279905848068,992.8074605369451,768.2789080528031,230,400,590,1500,2500,3300,4500,8600,15000,17000,18000
GET,cart /api/cart,4900,256,710,1041.8663575239968,16.971966018900275,17240.509155963082,28.42816326530612,27.263466005161717,1.4243769994533468,710,910,1000,1200,1400,1800,5100,15000,16000,17000,17000
,Aggregated,183335,138337,250,844.0855136337901,0.5156869883649051,18222.074782010168,1365.218419832547,1020.0709265421068,769.7032850522564,250,420,640,1400,2500,3300,4500,8900,15000,17000,18000
