stage	users	start_utc	steady_start_utc	end_utc
100	100	2026-07-22T05:31:38Z	2026-07-22T05:32:38Z	2026-07-22T05:36:38Z
200	200	2026-07-22T05:36:38Z	2026-07-22T05:37:38Z	2026-07-22T05:41:38Z
300	300	2026-07-22T05:41:38Z	2026-07-22T05:42:38Z	2026-07-22T05:56:38Z
