Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addcart,16923,12,110.0,374.0330491501779,12.167398002929986,9768.740769999567,98.97529988772676,18.824933036721536,0.013348649556264164,110,250,430,610,1100,1600,2200,2700,4300,9400,9800
GET,browse,50514,16,95,367.9496152090248,8.56173801003024,12382.70805600041,6130.087817238786,56.191140307093995,0.017798199408352217,95,230,420,590,1100,1700,2300,2700,4500,11000,12000
POST,checkout,16907,12,490.0,794.0949912921872,49.709031998645514,8443.742534000194,1013.8417815106169,18.807134837313182,0.013348649556264164,490,780,1000,1200,1900,2500,3400,4000,5800,7200,8400
GET,viewcart,16873,5,90,296.0757031454517,8.742821999476291,11542.145122002694,24.021039530611034,18.769313663570436,0.005561937315110068,90,200,330,460,890,1300,1800,2200,3600,11000,12000
,Aggregated,101217,45,140.0,428.16737811224726,8.56173801003024,12382.70805600041,3249.222413230979,112.59252184469915,0.050057435835990614,140,330,540,710,1200,1800,2500,3000,5000,9800,12000
